WORDS,NEW_LABELS,"activity, animal, location, weather, human"
patas monkey,animal,http://wordnet-rdf.princeton.edu/wn30/02486261-n
baboon,animal,http://wordnet-rdf.princeton.edu/wn30/02486410-n
macaque,animal,http://wordnet-rdf.princeton.edu/wn30/02487347-n
langur,animal,http://wordnet-rdf.princeton.edu/wn30/02488291-n
black-and-white colobus,animal,http://wordnet-rdf.princeton.edu/wn30/02488702-n
proboscis monkey,animal,http://wordnet-rdf.princeton.edu/wn30/02489166-n
marmoset,animal,http://wordnet-rdf.princeton.edu/wn30/02490219-n
white-headed capuchin,animal,http://wordnet-rdf.princeton.edu/wn30/02492035-n
howler monkey,animal,http://wordnet-rdf.princeton.edu/wn30/02492660-n
titi,animal,http://wordnet-rdf.princeton.edu/wn30/02493509-n
Geoffroy's spider monkey,animal,http://wordnet-rdf.princeton.edu/wn30/02493793-n
common squirrel monkey,animal,http://wordnet-rdf.princeton.edu/wn30/02494079-n
ring-tailed lemur,animal,http://wordnet-rdf.princeton.edu/wn30/02497673-n
indri,animal,http://wordnet-rdf.princeton.edu/wn30/02500267-n
Asian elephant,animal,http://wordnet-rdf.princeton.edu/wn30/02504013-n
African bush elephant,animal,http://wordnet-rdf.princeton.edu/wn30/02504458-n
red panda,animal,http://wordnet-rdf.princeton.edu/wn30/02509815-n
giant panda,animal,http://wordnet-rdf.princeton.edu/wn30/02510455-n
snoek,animal,http://wordnet-rdf.princeton.edu/wn30/02514041-n
eel,animal,http://wordnet-rdf.princeton.edu/wn30/02526121-n
coho salmon,animal,http://wordnet-rdf.princeton.edu/wn30/02536864-n
rock beauty,animal,http://wordnet-rdf.princeton.edu/wn30/02606052-n
clownfish,animal,http://wordnet-rdf.princeton.edu/wn30/02607072-n
sturgeon,animal,http://wordnet-rdf.princeton.edu/wn30/02640242-n
garfish,animal,http://wordnet-rdf.princeton.edu/wn30/02641379-n
lionfish,animal,http://wordnet-rdf.princeton.edu/wn30/02643566-n
pufferfish,animal,http://wordnet-rdf.princeton.edu/wn30/02655020-n
abacus,activity,http://wordnet-rdf.princeton.edu/wn30/02666196-n
abaya,activity,http://wordnet-rdf.princeton.edu/wn30/02667093-n
academic gown,activity,http://wordnet-rdf.princeton.edu/wn30/02669723-n
accordion,activity,http://wordnet-rdf.princeton.edu/wn30/02672831-n
acoustic guitar,activity,http://wordnet-rdf.princeton.edu/wn30/02676566-n
aircraft carrier,activity,http://wordnet-rdf.princeton.edu/wn30/02687172-n
airliner,activity,http://wordnet-rdf.princeton.edu/wn30/02690373-n
airship,activity,http://wordnet-rdf.princeton.edu/wn30/02692877-n
altar,activity,http://wordnet-rdf.princeton.edu/wn30/02699494-n
ambulance,activity,http://wordnet-rdf.princeton.edu/wn30/02701002-n
amphibious vehicle,activity,http://wordnet-rdf.princeton.edu/wn30/02704792-n
analog clock,activity,http://wordnet-rdf.princeton.edu/wn30/02708093-n
apiary,activity,http://wordnet-rdf.princeton.edu/wn30/02727426-n
apron,activity,http://wordnet-rdf.princeton.edu/wn30/02730930-n
waste container,activity,http://wordnet-rdf.princeton.edu/wn30/02747177-n
assault rifle,activity,http://wordnet-rdf.princeton.edu/wn30/02749479-n
backpack,activity,http://wordnet-rdf.princeton.edu/wn30/02769748-n
bakery,location,http://wordnet-rdf.princeton.edu/wn30/02776631-n
balance beam,activity,http://wordnet-rdf.princeton.edu/wn30/02777292-n
balloon,activity,http://wordnet-rdf.princeton.edu/wn30/02782093-n
ballpoint pen,activity,http://wordnet-rdf.princeton.edu/wn30/02783161-n
Band-Aid,activity,http://wordnet-rdf.princeton.edu/wn30/02786058-n
banjo,activity,http://wordnet-rdf.princeton.edu/wn30/02787622-n
baluster,activity,http://wordnet-rdf.princeton.edu/wn30/02788148-n
barbell,activity,http://wordnet-rdf.princeton.edu/wn30/02790996-n
barber chair,activity,http://wordnet-rdf.princeton.edu/wn30/02791124-n
barbershop,location,http://wordnet-rdf.princeton.edu/wn30/02791270-n
barn,animal,http://wordnet-rdf.princeton.edu/wn30/02793495-n
barometer,activity,http://wordnet-rdf.princeton.edu/wn30/02794156-n
barrel,activity,http://wordnet-rdf.princeton.edu/wn30/02795169-n
wheelbarrow,activity,http://wordnet-rdf.princeton.edu/wn30/02797295-n
baseball,activity,http://wordnet-rdf.princeton.edu/wn30/02799071-n
basketball,activity,http://wordnet-rdf.princeton.edu/wn30/02802426-n
bassinet,activity,http://wordnet-rdf.princeton.edu/wn30/02804414-n
bassoon,activity,http://wordnet-rdf.princeton.edu/wn30/02804610-n
swimming cap,activity,http://wordnet-rdf.princeton.edu/wn30/02807133-n
bath towel,activity,http://wordnet-rdf.princeton.edu/wn30/02808304-n
bathtub,activity,http://wordnet-rdf.princeton.edu/wn30/02808440-n
station wagon,activity,http://wordnet-rdf.princeton.edu/wn30/02814533-n
lighthouse,activity,http://wordnet-rdf.princeton.edu/wn30/02814860-n
beaker,activity,http://wordnet-rdf.princeton.edu/wn30/02815834-n
military cap,activity,http://wordnet-rdf.princeton.edu/wn30/02817516-n
beer bottle,activity,http://wordnet-rdf.princeton.edu/wn30/02823428-n
beer glass,activity,http://wordnet-rdf.princeton.edu/wn30/02823750-n
bell-cot,activity,http://wordnet-rdf.princeton.edu/wn30/02825657-n
bib,activity,http://wordnet-rdf.princeton.edu/wn30/02834397-n
tandem bicycle,activity,http://wordnet-rdf.princeton.edu/wn30/02835271-n
bikini,activity,http://wordnet-rdf.princeton.edu/wn30/02837789-n
ring binder,activity,http://wordnet-rdf.princeton.edu/wn30/02840245-n
binoculars,activity,http://wordnet-rdf.princeton.edu/wn30/02841315-n
birdhouse,location,http://wordnet-rdf.princeton.edu/wn30/02843684-n
boathouse,activity,http://wordnet-rdf.princeton.edu/wn30/02859443-n
bobsleigh,activity,http://wordnet-rdf.princeton.edu/wn30/02860847-n
bolo tie,activity,http://wordnet-rdf.princeton.edu/wn30/02865351-n
poke bonnet,activity,http://wordnet-rdf.princeton.edu/wn30/02869837-n
bookcase,activity,http://wordnet-rdf.princeton.edu/wn30/02870880-n
bookstore,activity,http://wordnet-rdf.princeton.edu/wn30/02871525-n
bottle cap,activity,http://wordnet-rdf.princeton.edu/wn30/02877765-n
bow,activity,http://wordnet-rdf.princeton.edu/wn30/02879718-n
bow tie,activity,http://wordnet-rdf.princeton.edu/wn30/02883205-n
brass,activity,http://wordnet-rdf.princeton.edu/wn30/02892201-n
bra,activity,http://wordnet-rdf.princeton.edu/wn30/02892767-n
breakwater,activity,http://wordnet-rdf.princeton.edu/wn30/02894605-n
breastplate,activity,http://wordnet-rdf.princeton.edu/wn30/02895154-n
broom,activity,http://wordnet-rdf.princeton.edu/wn30/02906734-n
bucket,activity,http://wordnet-rdf.princeton.edu/wn30/02909870-n
buckle,activity,http://wordnet-rdf.princeton.edu/wn30/02910353-n
bulletproof vest,activity,http://wordnet-rdf.princeton.edu/wn30/02916936-n
high-speed train,location,http://wordnet-rdf.princeton.edu/wn30/02917067-n
butcher shop,location,http://wordnet-rdf.princeton.edu/wn30/02927161-n
taxicab,location,http://wordnet-rdf.princeton.edu/wn30/02930766-n
cauldron,activity,http://wordnet-rdf.princeton.edu/wn30/02939185-n
candle,activity,http://wordnet-rdf.princeton.edu/wn30/02948072-n
cannon,activity,http://wordnet-rdf.princeton.edu/wn30/02950826-n
canoe,activity,http://wordnet-rdf.princeton.edu/wn30/02951358-n
can opener,activity,http://wordnet-rdf.princeton.edu/wn30/02951585-n
cardigan,activity,http://wordnet-rdf.princeton.edu/wn30/02963159-n
car mirror,activity,http://wordnet-rdf.princeton.edu/wn30/02965783-n
carousel,activity,http://wordnet-rdf.princeton.edu/wn30/02966193-n
tool kit,activity,http://wordnet-rdf.princeton.edu/wn30/02966687-n
carton,activity,http://wordnet-rdf.princeton.edu/wn30/02971356-n
car wheel,activity,http://wordnet-rdf.princeton.edu/wn30/02974003-n
automated teller machine,activity,http://wordnet-rdf.princeton.edu/wn30/02977058-n
cassette,activity,http://wordnet-rdf.princeton.edu/wn30/02978881-n
cassette player,activity,http://wordnet-rdf.princeton.edu/wn30/02979186-n
castle,activity,http://wordnet-rdf.princeton.edu/wn30/02980441-n
catamaran,activity,http://wordnet-rdf.princeton.edu/wn30/02981792-n
CD player,activity,http://wordnet-rdf.princeton.edu/wn30/02988304-n
cello,activity,http://wordnet-rdf.princeton.edu/wn30/02992211-n
mobile phone,activity,http://wordnet-rdf.princeton.edu/wn30/02992529-n
chain,activity,http://wordnet-rdf.princeton.edu/wn30/02999410-n
chain-link fence,activity,http://wordnet-rdf.princeton.edu/wn30/03000134-n
chain mail,activity,http://wordnet-rdf.princeton.edu/wn30/03000247-n
chainsaw,activity,http://wordnet-rdf.princeton.edu/wn30/03000684-n
chest,activity,http://wordnet-rdf.princeton.edu/wn30/03014705-n
chiffonier,activity,http://wordnet-rdf.princeton.edu/wn30/03016953-n
chime,activity,http://wordnet-rdf.princeton.edu/wn30/03017168-n
china cabinet,location,http://wordnet-rdf.princeton.edu/wn30/03018349-n
Christmas stocking,activity,http://wordnet-rdf.princeton.edu/wn30/03026506-n
church,location,http://wordnet-rdf.princeton.edu/wn30/03028079-n
movie theater,location,http://wordnet-rdf.princeton.edu/wn30/03032252-n
cleaver,activity,http://wordnet-rdf.princeton.edu/wn30/03041632-n
cliff dwelling,activity,http://wordnet-rdf.princeton.edu/wn30/03042490-n
cloak,activity,http://wordnet-rdf.princeton.edu/wn30/03045698-n
clogs,activity,http://wordnet-rdf.princeton.edu/wn30/03047690-n
cocktail shaker,activity,http://wordnet-rdf.princeton.edu/wn30/03062245-n
coffee mug,activity,http://wordnet-rdf.princeton.edu/wn30/03063599-n
coffeemaker,activity,http://wordnet-rdf.princeton.edu/wn30/03063689-n
coil,activity,http://wordnet-rdf.princeton.edu/wn30/03065424-n
combination lock,activity,http://wordnet-rdf.princeton.edu/wn30/03075370-n
computer keyboard,activity,http://wordnet-rdf.princeton.edu/wn30/03085013-n
confectionery store,location,http://wordnet-rdf.princeton.edu/wn30/03089624-n
container ship,activity,http://wordnet-rdf.princeton.edu/wn30/03095699-n
convertible,activity,http://wordnet-rdf.princeton.edu/wn30/03100240-n
corkscrew,activity,http://wordnet-rdf.princeton.edu/wn30/03109150-n
cornet,activity,http://wordnet-rdf.princeton.edu/wn30/03110669-n
cowboy boot,activity,http://wordnet-rdf.princeton.edu/wn30/03124043-n
cowboy hat,activity,http://wordnet-rdf.princeton.edu/wn30/03124170-n
cradle,activity,http://wordnet-rdf.princeton.edu/wn30/03125729-n
crane,activity,http://wordnet-rdf.princeton.edu/wn30/03126707-n
crash helmet,activity,http://wordnet-rdf.princeton.edu/wn30/03127747-n
crate,activity,http://wordnet-rdf.princeton.edu/wn30/03127925-n
infant bed,activity,http://wordnet-rdf.princeton.edu/wn30/03131574-n
Crock Pot,activity,http://wordnet-rdf.princeton.edu/wn30/03133878-n
croquet ball,activity,http://wordnet-rdf.princeton.edu/wn30/03134739-n
crutch,activity,http://wordnet-rdf.princeton.edu/wn30/03141823-n
cuirass,activity,http://wordnet-rdf.princeton.edu/wn30/03146219-n
dam,activity,http://wordnet-rdf.princeton.edu/wn30/03160309-n
desk,activity,http://wordnet-rdf.princeton.edu/wn30/03179701-n
desktop computer,activity,http://wordnet-rdf.princeton.edu/wn30/03180011-n
rotary dial telephone,activity,http://wordnet-rdf.princeton.edu/wn30/03187595-n
diaper,activity,http://wordnet-rdf.princeton.edu/wn30/03188531-n
digital clock,activity,http://wordnet-rdf.princeton.edu/wn30/03196217-n
digital watch,activity,http://wordnet-rdf.princeton.edu/wn30/03197337-n
dining table,activity,http://wordnet-rdf.princeton.edu/wn30/03201208-n
dishcloth,activity,http://wordnet-rdf.princeton.edu/wn30/03207743-n
dishwasher,activity,http://wordnet-rdf.princeton.edu/wn30/03207941-n
disc brake,activity,http://wordnet-rdf.princeton.edu/wn30/03208938-n
dock,activity,http://wordnet-rdf.princeton.edu/wn30/03216828-n
dog sled,activity,http://wordnet-rdf.princeton.edu/wn30/03218198-n
dome,activity,http://wordnet-rdf.princeton.edu/wn30/03220513-n
doormat,activity,http://wordnet-rdf.princeton.edu/wn30/03223299-n
drilling rig,activity,http://wordnet-rdf.princeton.edu/wn30/03240683-n
drum,activity,http://wordnet-rdf.princeton.edu/wn30/03249569-n
drumstick,activity,http://wordnet-rdf.princeton.edu/wn30/03250847-n
dumbbell,activity,http://wordnet-rdf.princeton.edu/wn30/03255030-n
Dutch oven,activity,http://wordnet-rdf.princeton.edu/wn30/03259280-n
electric fan,activity,http://wordnet-rdf.princeton.edu/wn30/03271574-n
electric guitar,activity,http://wordnet-rdf.princeton.edu/wn30/03272010-n
electric locomotive,activity,http://wordnet-rdf.princeton.edu/wn30/03272562-n
entertainment center,activity,http://wordnet-rdf.princeton.edu/wn30/03290653-n
envelope,activity,http://wordnet-rdf.princeton.edu/wn30/03291819-n
espresso machine,activity,http://wordnet-rdf.princeton.edu/wn30/03297495-n
face powder,activity,http://wordnet-rdf.princeton.edu/wn30/03314780-n
feather boa,activity,http://wordnet-rdf.princeton.edu/wn30/03325584-n
filing cabinet,activity,http://wordnet-rdf.princeton.edu/wn30/03337140-n
fireboat,activity,http://wordnet-rdf.princeton.edu/wn30/03344393-n
fire engine,activity,http://wordnet-rdf.princeton.edu/wn30/03345487-n
fire screen sheet,activity,http://wordnet-rdf.princeton.edu/wn30/03347037-n
flagpole,activity,http://wordnet-rdf.princeton.edu/wn30/03355925-n
flute,activity,http://wordnet-rdf.princeton.edu/wn30/03372029-n
folding chair,activity,http://wordnet-rdf.princeton.edu/wn30/03376595-n
football helmet,activity,http://wordnet-rdf.princeton.edu/wn30/03379051-n
forklift,activity,http://wordnet-rdf.princeton.edu/wn30/03384352-n
fountain,location,http://wordnet-rdf.princeton.edu/wn30/03388043-n
fountain pen,activity,http://wordnet-rdf.princeton.edu/wn30/03388183-n
four-poster bed,activity,http://wordnet-rdf.princeton.edu/wn30/03388549-n
freight car,activity,http://wordnet-rdf.princeton.edu/wn30/03393912-n
French horn,activity,http://wordnet-rdf.princeton.edu/wn30/03394916-n
frying pan,activity,http://wordnet-rdf.princeton.edu/wn30/03400231-n
fur coat,activity,http://wordnet-rdf.princeton.edu/wn30/03404251-n
garbage truck,activity,http://wordnet-rdf.princeton.edu/wn30/03417042-n
gas mask,activity,http://wordnet-rdf.princeton.edu/wn30/03424325-n
gas pump,activity,http://wordnet-rdf.princeton.edu/wn30/03425413-n
goblet,activity,http://wordnet-rdf.princeton.edu/wn30/03443371-n
go-kart,activity,http://wordnet-rdf.princeton.edu/wn30/03444034-n
golf ball,activity,http://wordnet-rdf.princeton.edu/wn30/03445777-n
golf cart,activity,http://wordnet-rdf.princeton.edu/wn30/03445924-n
gondola,activity,http://wordnet-rdf.princeton.edu/wn30/03447447-n
gong,activity,http://wordnet-rdf.princeton.edu/wn30/03447721-n
gown,activity,http://wordnet-rdf.princeton.edu/wn30/03450230-n
grand piano,activity,http://wordnet-rdf.princeton.edu/wn30/03452741-n
greenhouse,location,http://wordnet-rdf.princeton.edu/wn30/03457902-n
grille,activity,http://wordnet-rdf.princeton.edu/wn30/03459775-n
grocery store,location,http://wordnet-rdf.princeton.edu/wn30/03461385-n
guillotine,activity,http://wordnet-rdf.princeton.edu/wn30/03467068-n
barrette,activity,http://wordnet-rdf.princeton.edu/wn30/03476684-n
hair spray,activity,http://wordnet-rdf.princeton.edu/wn30/03476991-n
half-track,activity,http://wordnet-rdf.princeton.edu/wn30/03478589-n
hammer,activity,http://wordnet-rdf.princeton.edu/wn30/03481172-n
hamper,activity,http://wordnet-rdf.princeton.edu/wn30/03482405-n
hair dryer,activity,http://wordnet-rdf.princeton.edu/wn30/03483316-n
hand-held computer,activity,http://wordnet-rdf.princeton.edu/wn30/03485407-n
handkerchief,activity,http://wordnet-rdf.princeton.edu/wn30/03485794-n
hard disk drive,activity,http://wordnet-rdf.princeton.edu/wn30/03492542-n
harmonica,activity,http://wordnet-rdf.princeton.edu/wn30/03494278-n
harp,activity,http://wordnet-rdf.princeton.edu/wn30/03495258-n
harvester,activity,http://wordnet-rdf.princeton.edu/wn30/03496892-n
hatchet,activity,http://wordnet-rdf.princeton.edu/wn30/03498962-n
holster,activity,http://wordnet-rdf.princeton.edu/wn30/03527444-n
home theater,activity,http://wordnet-rdf.princeton.edu/wn30/03529860-n
honeycomb,activity,http://wordnet-rdf.princeton.edu/wn30/03530642-n
hook,activity,http://wordnet-rdf.princeton.edu/wn30/03532672-n
hoop skirt,activity,http://wordnet-rdf.princeton.edu/wn30/03534580-n
horizontal bar,activity,http://wordnet-rdf.princeton.edu/wn30/03535780-n
horse-drawn vehicle,activity,http://wordnet-rdf.princeton.edu/wn30/03538406-n
hourglass,activity,http://wordnet-rdf.princeton.edu/wn30/03544143-n
iPod,activity,http://wordnet-rdf.princeton.edu/wn30/03584254-n
clothes iron,activity,http://wordnet-rdf.princeton.edu/wn30/03584829-n
jack-o'-lantern,activity,http://wordnet-rdf.princeton.edu/wn30/03590841-n
jeans,activity,http://wordnet-rdf.princeton.edu/wn30/03594734-n
jeep,activity,http://wordnet-rdf.princeton.edu/wn30/03594945-n
T-shirt,activity,http://wordnet-rdf.princeton.edu/wn30/03595614-n
jigsaw puzzle,activity,http://wordnet-rdf.princeton.edu/wn30/03598930-n
pulled rickshaw,activity,http://wordnet-rdf.princeton.edu/wn30/03599486-n
joystick,activity,http://wordnet-rdf.princeton.edu/wn30/03602883-n
kimono,activity,http://wordnet-rdf.princeton.edu/wn30/03617480-n
knee pad,activity,http://wordnet-rdf.princeton.edu/wn30/03623198-n
knot,activity,http://wordnet-rdf.princeton.edu/wn30/03627232-n
lab coat,activity,http://wordnet-rdf.princeton.edu/wn30/03630383-n
ladle,activity,http://wordnet-rdf.princeton.edu/wn30/03633091-n
lampshade,activity,http://wordnet-rdf.princeton.edu/wn30/03637318-n
laptop computer,activity,http://wordnet-rdf.princeton.edu/wn30/03642806-n
lawn mower,activity,http://wordnet-rdf.princeton.edu/wn30/03649909-n
lens cap,activity,http://wordnet-rdf.princeton.edu/wn30/03657121-n
paper knife,activity,http://wordnet-rdf.princeton.edu/wn30/03658185-n
library,location,http://wordnet-rdf.princeton.edu/wn30/03661043-n
lifeboat,activity,http://wordnet-rdf.princeton.edu/wn30/03662601-n
lighter,activity,http://wordnet-rdf.princeton.edu/wn30/03666591-n
limousine,location,http://wordnet-rdf.princeton.edu/wn30/03670208-n
ocean liner,activity,http://wordnet-rdf.princeton.edu/wn30/03673027-n
lipstick,activity,http://wordnet-rdf.princeton.edu/wn30/03676483-n
slip-on shoe,activity,http://wordnet-rdf.princeton.edu/wn30/03680355-n
lotion,activity,http://wordnet-rdf.princeton.edu/wn30/03690938-n
speaker,activity,http://wordnet-rdf.princeton.edu/wn30/03691459-n
loupe,activity,http://wordnet-rdf.princeton.edu/wn30/03692522-n
sawmill,activity,http://wordnet-rdf.princeton.edu/wn30/03697007-n
magnetic compass,activity,http://wordnet-rdf.princeton.edu/wn30/03706229-n
mail bag,activity,http://wordnet-rdf.princeton.edu/wn30/03709823-n
mailbox,activity,http://wordnet-rdf.princeton.edu/wn30/03710193-n
tights,activity,http://wordnet-rdf.princeton.edu/wn30/03710637-n
tank suit,activity,http://wordnet-rdf.princeton.edu/wn30/03710721-n
manhole cover,activity,http://wordnet-rdf.princeton.edu/wn30/03717622-n
maraca,activity,http://wordnet-rdf.princeton.edu/wn30/03720891-n
marimba,activity,http://wordnet-rdf.princeton.edu/wn30/03721384-n
mask,activity,http://wordnet-rdf.princeton.edu/wn30/03724870-n
match,activity,http://wordnet-rdf.princeton.edu/wn30/03729826-n
maypole,activity,http://wordnet-rdf.princeton.edu/wn30/03733131-n
maze,activity,http://wordnet-rdf.princeton.edu/wn30/03733281-n
measuring cup,activity,http://wordnet-rdf.princeton.edu/wn30/03733805-n
medicine chest,activity,http://wordnet-rdf.princeton.edu/wn30/03742115-n
megalith,activity,http://wordnet-rdf.princeton.edu/wn30/03743016-n
microphone,activity,http://wordnet-rdf.princeton.edu/wn30/03759954-n
microwave oven,activity,http://wordnet-rdf.princeton.edu/wn30/03761084-n
military uniform,activity,http://wordnet-rdf.princeton.edu/wn30/03763968-n
milk can,activity,http://wordnet-rdf.princeton.edu/wn30/03764736-n
minibus,activity,http://wordnet-rdf.princeton.edu/wn30/03769881-n
miniskirt,activity,http://wordnet-rdf.princeton.edu/wn30/03770439-n
minivan,activity,http://wordnet-rdf.princeton.edu/wn30/03770679-n
missile,activity,http://wordnet-rdf.princeton.edu/wn30/03773504-n
mitten,activity,http://wordnet-rdf.princeton.edu/wn30/03775071-n
mixing bowl,activity,http://wordnet-rdf.princeton.edu/wn30/03775546-n
mobile home,location,http://wordnet-rdf.princeton.edu/wn30/03776460-n
Model T,activity,http://wordnet-rdf.princeton.edu/wn30/03777568-n
modem,activity,http://wordnet-rdf.princeton.edu/wn30/03777754-n
monastery,location,http://wordnet-rdf.princeton.edu/wn30/03781244-n
monitor,activity,http://wordnet-rdf.princeton.edu/wn30/03782006-n
moped,activity,http://wordnet-rdf.princeton.edu/wn30/03785016-n
mortar,activity,http://wordnet-rdf.princeton.edu/wn30/03786901-n
square academic cap,activity,http://wordnet-rdf.princeton.edu/wn30/03787032-n
mosque,location,http://wordnet-rdf.princeton.edu/wn30/03788195-n
mosquito net,activity,http://wordnet-rdf.princeton.edu/wn30/03788365-n
scooter,activity,http://wordnet-rdf.princeton.edu/wn30/03791053-n
mountain bike,activity,http://wordnet-rdf.princeton.edu/wn30/03792782-n
tent,location,http://wordnet-rdf.princeton.edu/wn30/03792972-n
computer mouse,activity,http://wordnet-rdf.princeton.edu/wn30/03793489-n
mousetrap,activity,http://wordnet-rdf.princeton.edu/wn30/03794056-n
moving van,location,http://wordnet-rdf.princeton.edu/wn30/03796401-n
muzzle,activity,http://wordnet-rdf.princeton.edu/wn30/03803284-n
nail,activity,http://wordnet-rdf.princeton.edu/wn30/03804744-n
neck brace,activity,http://wordnet-rdf.princeton.edu/wn30/03814639-n
necklace,activity,http://wordnet-rdf.princeton.edu/wn30/03814906-n
nipple,activity,http://wordnet-rdf.princeton.edu/wn30/03825788-n
notebook computer,activity,http://wordnet-rdf.princeton.edu/wn30/03832673-n
obelisk,location,http://wordnet-rdf.princeton.edu/wn30/03837869-n
oboe,activity,http://wordnet-rdf.princeton.edu/wn30/03838899-n
ocarina,activity,http://wordnet-rdf.princeton.edu/wn30/03840681-n
odometer,activity,http://wordnet-rdf.princeton.edu/wn30/03841143-n
oil filter,activity,http://wordnet-rdf.princeton.edu/wn30/03843555-n
organ,activity,http://wordnet-rdf.princeton.edu/wn30/03854065-n
oscilloscope,activity,http://wordnet-rdf.princeton.edu/wn30/03857828-n
overskirt,activity,http://wordnet-rdf.princeton.edu/wn30/03866082-n
bullock cart,activity,http://wordnet-rdf.princeton.edu/wn30/03868242-n
oxygen mask,activity,http://wordnet-rdf.princeton.edu/wn30/03868863-n
packet,activity,http://wordnet-rdf.princeton.edu/wn30/03871628-n
paddle,activity,http://wordnet-rdf.princeton.edu/wn30/03873416-n
paddle wheel,activity,http://wordnet-rdf.princeton.edu/wn30/03874293-n
padlock,activity,http://wordnet-rdf.princeton.edu/wn30/03874599-n
paintbrush,activity,http://wordnet-rdf.princeton.edu/wn30/03876231-n
pajamas,activity,http://wordnet-rdf.princeton.edu/wn30/03877472-n
palace,location,http://wordnet-rdf.princeton.edu/wn30/03877845-n
pan flute,activity,http://wordnet-rdf.princeton.edu/wn30/03884397-n
paper towel,activity,http://wordnet-rdf.princeton.edu/wn30/03887697-n
parachute,activity,http://wordnet-rdf.princeton.edu/wn30/03888257-n
parallel bars,location,http://wordnet-rdf.princeton.edu/wn30/03888605-n
park bench,location,http://wordnet-rdf.princeton.edu/wn30/03891251-n
parking meter,activity,http://wordnet-rdf.princeton.edu/wn30/03891332-n
passenger car,location,http://wordnet-rdf.princeton.edu/wn30/03895866-n
patio,location,http://wordnet-rdf.princeton.edu/wn30/03899768-n
payphone,activity,http://wordnet-rdf.princeton.edu/wn30/03902125-n
pedestal,location,http://wordnet-rdf.princeton.edu/wn30/03903868-n
pencil case,activity,http://wordnet-rdf.princeton.edu/wn30/03908618-n
pencil sharpener,activity,http://wordnet-rdf.princeton.edu/wn30/03908714-n
perfume,activity,http://wordnet-rdf.princeton.edu/wn30/03916031-n
Petri dish,activity,http://wordnet-rdf.princeton.edu/wn30/03920288-n
photocopier,activity,http://wordnet-rdf.princeton.edu/wn30/03924679-n
plectrum,activity,http://wordnet-rdf.princeton.edu/wn30/03929660-n
Pickelhaube,activity,http://wordnet-rdf.princeton.edu/wn30/03929855-n
picket fence,activity,http://wordnet-rdf.princeton.edu/wn30/03930313-n
pickup truck,activity,http://wordnet-rdf.princeton.edu/wn30/03930630-n
pier,activity,http://wordnet-rdf.princeton.edu/wn30/03933933-n
piggy bank,activity,http://wordnet-rdf.princeton.edu/wn30/03935335-n
pill bottle,activity,http://wordnet-rdf.princeton.edu/wn30/03937543-n
pillow,activity,http://wordnet-rdf.princeton.edu/wn30/03938244-n
ping-pong ball,activity,http://wordnet-rdf.princeton.edu/wn30/03942813-n
pinwheel,activity,http://wordnet-rdf.princeton.edu/wn30/03944341-n
pirate ship,location,http://wordnet-rdf.princeton.edu/wn30/03947888-n
pitcher,activity,http://wordnet-rdf.princeton.edu/wn30/03950228-n
hand plane,location,http://wordnet-rdf.princeton.edu/wn30/03954731-n
planetarium,location,http://wordnet-rdf.princeton.edu/wn30/03956157-n
plastic bag,activity,http://wordnet-rdf.princeton.edu/wn30/03958227-n
plate rack,activity,http://wordnet-rdf.princeton.edu/wn30/03961711-n
plow,activity,http://wordnet-rdf.princeton.edu/wn30/03967562-n
plunger,activity,http://wordnet-rdf.princeton.edu/wn30/03970156-n
Polaroid camera,activity,http://wordnet-rdf.princeton.edu/wn30/03976467-n
pole,activity,http://wordnet-rdf.princeton.edu/wn30/03976657-n
police van,activity,http://wordnet-rdf.princeton.edu/wn30/03977966-n
poncho,activity,http://wordnet-rdf.princeton.edu/wn30/03980874-n
billiard table,activity,http://wordnet-rdf.princeton.edu/wn30/03982430-n
soda bottle,activity,http://wordnet-rdf.princeton.edu/wn30/03983396-n
pot,activity,http://wordnet-rdf.princeton.edu/wn30/03991062-n
potter's wheel,activity,http://wordnet-rdf.princeton.edu/wn30/03992509-n
power drill,activity,http://wordnet-rdf.princeton.edu/wn30/03995372-n
prayer rug,activity,http://wordnet-rdf.princeton.edu/wn30/03998194-n
printer,activity,http://wordnet-rdf.princeton.edu/wn30/04004767-n
prison,location,http://wordnet-rdf.princeton.edu/wn30/04005630-n
projectile,activity,http://wordnet-rdf.princeton.edu/wn30/04008634-n
projector,activity,http://wordnet-rdf.princeton.edu/wn30/04009552-n
hockey puck,activity,http://wordnet-rdf.princeton.edu/wn30/04019541-n
punching bag,activity,http://wordnet-rdf.princeton.edu/wn30/04023962-n
purse,activity,http://wordnet-rdf.princeton.edu/wn30/04026417-n
quill,activity,http://wordnet-rdf.princeton.edu/wn30/04033901-n
quilt,activity,http://wordnet-rdf.princeton.edu/wn30/04033995-n
race car,activity,http://wordnet-rdf.princeton.edu/wn30/04037443-n
racket,activity,http://wordnet-rdf.princeton.edu/wn30/04039381-n
radiator,activity,http://wordnet-rdf.princeton.edu/wn30/04040759-n
radio,activity,http://wordnet-rdf.princeton.edu/wn30/04041544-n
radio telescope,activity,http://wordnet-rdf.princeton.edu/wn30/04044716-n
rain barrel,activity,http://wordnet-rdf.princeton.edu/wn30/04049303-n
recreational vehicle,activity,http://wordnet-rdf.princeton.edu/wn30/04065272-n
reel,activity,http://wordnet-rdf.princeton.edu/wn30/04067472-n
reflex camera,activity,http://wordnet-rdf.princeton.edu/wn30/04069434-n
